Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
1,Exit Long,TSL-Exit-Sell 16900PE,3/17/2023 12:25,16974.05,1,-12.8,-0.08,-12.8,0,158.95,0.94,76.45,0.45
1,Entry Long,Sell 16900 PE,3/16/2023 10:40,16986.85,1,-12.8,-0.08,-12.8,0,158.95,0.94,76.45,0.45
2,Exit Long,SL-Exit-Sell 16950PE,3/20/2023 9:15,16964.55,1,-67,-0.39,-79.8,-0.01,94.35,0.55,67,0.39
2,Entry Long,Sell 16950 PE,3/17/2023 13:50,17031.55,1,-67,-0.39,-79.8,-0.01,94.35,0.55,67,0.39
3,Exit Long,SL-Exit-Sell 17050PE,3/23/2023 14:40,17090.35,1,-66.25,-0.39,-146.05,-0.01,48.8,0.28,66.25,0.39
3,Entry Long,Sell 17050 PE,3/23/2023 10:25,17156.6,1,-66.25,-0.39,-146.05,-0.01,48.8,0.28,66.25,0.39
4,Exit Long,SL-Exit-Sell 17000PE,3/24/2023 13:35,17037.45,1,-58.05,-0.34,-204.1,-0.01,1.1,0.01,58.05,0.34
4,Entry Long,Sell 17000 PE,3/24/2023 12:25,17095.5,1,-58.05,-0.34,-204.1,-0.01,1.1,0.01,58.05,0.34
5,Exit Long,SL-Exit-Sell 16950PE,3/29/2023 11:45,16966.65,1,-69.3,-0.41,-273.4,-0.01,12.85,0.08,69.3,0.41
5,Entry Long,Sell 16950 PE,3/29/2023 10:25,17035.95,1,-69.3,-0.41,-273.4,-0.01,12.85,0.08,69.3,0.41
6,Exit Long,TG-Exit-Sell 16900PE,3/31/2023 9:15,17214.9,1,209.3,1.23,-64.1,0.02,209.3,1.23,15.2,0.09
6,Entry Long,Sell 16900 PE,3/29/2023 13:20,17005.6,1,209.3,1.23,-64.1,0.02,209.3,1.23,15.2,0.09
7,Exit Long,TG-Exit-Sell 17150PE,3/31/2023 14:15,17370.1,1,117.85,0.68,53.75,0.01,117.85,0.68,14.65,0.08
7,Entry Long,Sell 17150 PE,3/31/2023 10:55,17252.25,1,117.85,0.68,53.75,0.01,117.85,0.68,14.65,0.08
8,Exit Long,X-Exit-Sell 17300PE,4/3/2023 9:20,17377.4,1,0.45,0,54.2,0,51.1,0.29,39.25,0.23
8,Entry Long,Sell 17300 PE,3/31/2023 14:50,17376.95,1,0.45,0,54.2,0,51.1,0.29,39.25,0.23
9,Exit Long,TG-Exit-Sell 17400PE,4/6/2023 12:50,17629.7,1,104.15,0.59,158.35,0.01,104.15,0.59,22.7,0.13
9,Entry Long,Sell 17400 PE,4/5/2023 12:40,17525.55,1,104.15,0.59,158.35,0.01,104.15,0.59,22.7,0.13
10,Exit Long,SL-Exit-Sell 17700PE,4/13/2023 11:10,17745.3,1,-43.45,-0.24,114.9,0,39.1,0.22,43.45,0.24
10,Entry Long,Sell 17700 PE,4/12/2023 13:10,17788.75,1,-43.45,-0.24,114.9,0,39.1,0.22,43.45,0.24
11,Exit Long,SL-Exit-Sell 17700PE,4/17/2023 9:15,17736.2,1,-53.5,-0.3,61.4,-0.01,52.45,0.29,53.5,0.3
