Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
1,Exit Short,X-Exit-Sell 13900CE,2021-01-29 15:00,13751.50,100,4475.00,0.32,4475.00,0.45,6815.00,0.49,7675.00,0.56
1,Entry Short,Sell 13900 CE,2021-01-29 12:00,13796.25,100,4475.00,0.32,4475.00,0.45,6815.00,0.49,7675.00,0.56
2,Exit Short,X-Exit-Sell 15350CE,2021-02-17 15:00,15215.85,100,1385.00,0.09,5860.00,0.14,5895.00,0.39,1470.00,0.1
2,Entry Short,Sell 15350 CE,2021-02-17 13:15,15229.70,100,1385.00,0.09,5860.00,0.14,5895.00,0.39,1470.00,0.1
3,Exit Short,X-Exit-Sell 15200CE,2021-02-19 15:00,14903.40,200,34520.00,1.14,40380.00,3.43,35560.00,1.18,2090.00,0.07
3,Entry Short,Sell 15200 CE,2021-02-19 13:00,15076.00,200,34520.00,1.14,40380.00,3.43,35560.00,1.18,2090.00,0.07
4,Exit Short,X-Exit-Sell 15050CE,2021-03-08 15:00,14992.80,100,-2625.00,-0.18,37755.00,-0.25,1135.00,0.08,7870.00,0.53
4,Entry Short,Sell 15050 CE,2021-03-08 14:00,14966.55,100,-2625.00,-0.18,37755.00,-0.25,1135.00,0.08,7870.00,0.53
5,Exit Short,X-Exit-Sell 15050CE,2021-03-09 15:00,15021.25,100,-5865.00,-0.39,31890.00,-0.57,2325.00,0.16,7935.00,0.53
5,Entry Short,Sell 15050 CE,2021-03-09 13:30,14962.60,100,-5865.00,-0.39,31890.00,-0.57,2325.00,0.16,7935.00,0.53
6,Exit Short,X-Exit-Sell 15150CE,2021-03-12 15:00,14998.25,100,7105.00,0.47,38995.00,0.69,11570.00,0.77,4895.00,0.32
6,Entry Short,Sell 15150 CE,2021-03-12 13:45,15069.30,100,7105.00,0.47,38995.00,0.69,11570.00,0.77,4895.00,0.32
7,Exit Short,X-Exit-Sell 14800CE,2021-03-18 15:00,14526.15,100,18155.00,1.23,57150.00,1.75,22910.00,1.56,920.00,0.06
7,Entry Short,Sell 14800 CE,2021-03-18 13:15,14707.70,100,18155.00,1.23,57150.00,1.75,22910.00,1.56,920.00,0.06
8,Exit Short,X-Exit-Sell 14750CE,2021-03-24 15:00,14583.80,100,6915.00,0.47,64065.00,0.65,9155.00,0.62,2265.00,0.15
