Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
1,Exit Short,X-Exit-Sell Sell 41700 CE,2023-03-06 14:45,41291.75,30,4942.50,0.4,4942.50,0.49,5104.50,0.41,1075.50,0.09
1,Entry Short,Sell 41700 CE,2023-03-06 11:10,41456.50,30,4942.50,0.4,4942.50,0.49,5104.50,0.41,1075.50,0.09
2,Exit Long,X-Exit-Sell Sell 41200 PE,2023-03-08 14:45,41451.40,30,1359.00,0.11,6301.50,0.14,2857.50,0.23,384.00,0.03
2,Entry Long,Sell 41200 PE,2023-03-08 14:00,41406.10,30,1359.00,0.11,6301.50,0.14,2857.50,0.23,384.00,0.03
3,Exit Long,SL-Exit-Sell 41400PE,2023-03-09 12:30,41443.85,30,-4243.50,-0.34,2058.00,-0.42,2211.00,0.18,4243.50,0.34
3,Entry Long,Sell 41400 PE,2023-03-09 11:20,41585.30,30,-4243.50,-0.34,2058.00,-0.42,2211.00,0.18,4243.50,0.34
4,Exit Short,X-Exit-Sell Sell 41600 CE,2023-03-09 14:45,41382.55,30,1107.00,0.09,3165.00,0.11,2200.50,0.18,2557.50,0.21
4,Entry Short,Sell 41600 CE,2023-03-09 12:35,41419.45,30,1107.00,0.09,3165.00,0.11,2200.50,0.18,2557.50,0.21
5,Exit Short,X-Exit-Sell Sell 40600 CE,2023-03-10 14:45,40429.90,30,-679.50,-0.06,2485.50,-0.07,882.00,0.07,2694.00,0.22
5,Entry Short,Sell 40600 CE,2023-03-10 13:50,40407.25,30,-679.50,-0.06,2485.50,-0.07,882.00,0.07,2694.00,0.22
6,Exit Short,X-Exit-Sell Sell 40400 CE,2023-03-13 14:45,39630.10,30,17841.00,1.48,20326.50,1.78,20772.00,1.72,1432.50,0.12
6,Entry Short,Sell 40400 CE,2023-03-13 11:35,40224.80,30,17841.00,1.48,20326.50,1.78,20772.00,1.72,1432.50,0.12
7,Exit Long,X-Exit-Sell Sell 39100 PE,2023-03-14 14:45,39468.40,30,3522.00,0.3,23848.50,0.35,9349.50,0.79,3681.00,0.31
7,Entry Long,Sell 39100 PE,2023-03-14 12:25,39351.00,30,3522.00,0.3,23848.50,0.35,9349.50,0.79,3681.00,0.31
8,Exit Short,X-Exit-Sell Sell 39600 CE,2023-03-15 14:45,39181.00,30,6840.00,0.58,30688.50,0.67,7227.00,0.61,1321.50,0.11
8,Entry Short,Sell 39600 CE,2023-03-15 12:55,39409.00,30,6840.00,0.58,30688.50,0.67,7227.00,0.61,1321.50,0.11
9,Exit Long,X-Exit-Sell Sell 39000 PE,2023-03-17 14:45,39299.95,30,3843.00,0.33,34531.50,0.37,5445.00,0.46,2694.00,0.23
9,Entry Long,Sell 39000 PE,2023-03-17 13:55,39171.85,30,3843.00,0.33,34531.50,0.37,5445.00,0.46,2694.00,0.23
10,Exit Short,X-Exit-Sell Sell 39600 CE,2023-03-21 14:45,39896.35,30,-13494.00,-1.14,21037.50,-1.3,1584.00,0.13,14071.50,1.19
10,Entry Short,Sell 39600 CE,2023-03-21 11:35,39446.55,30,-13494.00,-1.14,21037.50,-1.3,1584.00,0.13,14071.50,1.19
11,Exit Long,SL-Exit-Sell 39800PE,2023-03-22 14:35,39874.45,30,-4065.00,-0.34,16972.50,-0.4,1117.50,0.09,4065.00,0.34
11,Entry Long,Sell 39800 PE,2023-03-22 13:40,40009.95,30,-4065.00,-0.34,16972.50,-0.4,1117.50,0.09,4065.00,0.34
12,Exit Short,X-Exit-Sell Sell 40200 CE,2023-03-23 14:45,39780.85,30,7512.00,0.63,24484.50,0.74,8472.00,0.71,1384.50,0.12
12,Entry Short,Sell 40200 CE,2023-03-23 13:50,40031.25,30,7512.00,0.63,24484.50,0.74,8472.00,0.71,1384.50,0.12
13,Exit Short,X-Exit-Sell Sell 39600 CE,2023-03-27 14:45,39591.55,30,-5509.50,-0.47,18975.00,-0.54,3981.00,0.34,8619.00,0.73
13,Entry Short,Sell 39600 CE,2023-03-27 10:40,39407.90,30,-5509.50,-0.47,18975.00,-0.54,3981.00,0.34,8619.00,0.73
14,Exit Short,X-Exit-Sell Sell 39600 CE,2023-03-28 14:45,39518.45,30,-4696.50,-0.4,14278.50,-0.46,1074.00,0.09,6358.50,0.54
14,Entry Short,Sell 39600 CE,2023-03-28 10:35,39361.90,30,-4696.50,-0.4,14278.50,-0.46,1074.00,0.09,6358.50,0.54
15,Exit Long,X-Exit-Sell Sell 39600 PE,2023-03-29 14:45,39759.85,30,-1966.50,-0.16,12312.00,-0.19,3543.00,0.3,4900.50,0.41
15,Entry Long,Sell 39600 PE,2023-03-29 10:25,39825.40,30,-1966.50,-0.16,12312.00,-0.19,3543.00,0.3,4900.50,0.41
16,Exit Long,X-Exit-Sell Sell 40400 PE,2023-03-31 14:45,40593.10,30,1099.50,0.09,13411.50,0.11,2190.00,0.18,2512.50,0.21
16,Entry Long,Sell 40400 PE,2023-03-31 12:45,40556.45,30,1099.50,0.09,13411.50,0.11,2190.00,0.18,2512.50,0.21
17,Exit Long,X-Exit-Sell Sell 40500 PE,2023-04-03 14:45,40802.35,30,2277.00,0.19,15688.50,0.22,3450.00,0.28,2262.00,0.19
17,Entry Long,Sell 40500 PE,2023-04-03 12:10,40726.45,30,2277.00,0.19,15688.50,0.22,3450.00,0.28,2262.00,0.19
18,Exit Short,X-Exit-Sell Sell 41100 CE,2023-04-05 14:45,40985.10,30,-4051.50,-0.33,11637.00,-0.4,1077.00,0.09,6633.00,0.54
18,Entry Short,Sell 41100 CE,2023-04-05 10:50,40850.05,30,-4051.50,-0.33,11637.00,-0.4,1077.00,0.09,6633.00,0.54
