Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
1,Exit Long,SL-Exit-Sell 41200PE,2023-03-06 12:55,41343.55,30,-2749.50,-0.22,-2749.50,-0.27,1192.50,0.1,2749.50,0.22
1,Entry Long,Sell 41200 PE,2023-03-06 11:45,41435.20,30,-2749.50,-0.22,-2749.50,-0.27,1192.50,0.1,2749.50,0.22
2,Exit Long,X-Exit- Sell 41100 PE,2023-03-08 13:00,41320.85,30,331.50,0.03,-2418.00,0.03,1960.50,0.16,3837.00,0.31
2,Entry Long,Sell 41100 PE,2023-03-08 09:40,41309.80,30,331.50,0.03,-2418.00,0.03,1960.50,0.16,3837.00,0.31
3,Exit Short,X-Exit- Sell 41700 CE,2023-03-09 13:00,41483.50,30,1960.50,0.16,-457.50,0.2,4087.50,0.33,1099.50,0.09
3,Entry Short,Sell 41700 CE,2023-03-09 11:55,41548.85,30,1960.50,0.16,-457.50,0.2,4087.50,0.33,1099.50,0.09
4,Exit Long,X-Exit- Sell 40300 PE,2023-03-10 13:00,40507.75,30,-369.00,-0.03,-826.50,-0.04,4183.50,0.34,2950.50,0.24
4,Entry Long,Sell 40300 PE,2023-03-10 10:00,40520.05,30,-369.00,-0.03,-826.50,-0.04,4183.50,0.34,2950.50,0.24
5,Exit Long,SL-Exit-Sell 39500PE,2023-03-14 10:20,39321.45,30,-10885.50,-0.91,-11712.00,-1.09,1744.50,0.15,10885.50,0.91
5,Entry Long,Sell 39500 PE,2023-03-14 09:35,39684.30,30,-10885.50,-0.91,-11712.00,-1.09,1744.50,0.15,10885.50,0.91
6,Exit Long,X-Exit- Sell 39000 PE,2023-03-14 13:00,39336.95,30,3460.50,0.29,-8251.50,0.35,13231.50,1.12,2059.50,0.18
6,Entry Long,Sell 39000 PE,2023-03-14 11:35,39221.60,30,3460.50,0.29,-8251.50,0.35,13231.50,1.12,2059.50,0.18
7,Exit Short,X-Exit- Sell 39900 CE,2023-03-15 13:00,39390.75,30,8988.00,0.75,736.50,0.91,9588.00,0.81,2466.00,0.21
7,Entry Short,Sell 39900 CE,2023-03-15 09:40,39690.35,30,8988.00,0.75,736.50,0.91,9588.00,0.81,2466.00,0.21
8,Exit Long,Sell 39300 CE,2023-03-16 11:25,39131.05,30,6892.50,0.59,7629.00,0.69,10938.00,0.94,2280.00,0.2
8,Entry Long,Sell 38700 PE,2023-03-16 10:25,38901.30,30,6892.50,0.59,7629.00,0.69,10938.00,0.94,2280.00,0.2
9,Exit Short,X-Exit- Sell 39300 CE,2023-03-16 13:00,38903.80,30,6817.50,0.58,14446.50,0.68,11253.00,0.96,2185.50,0.19
9,Entry Short,Sell 39300 CE,2023-03-16 11:25,39131.05,30,6817.50,0.58,14446.50,0.68,11253.00,0.96,2185.50,0.19
10,Exit Short,X-Exit- Sell 39500 CE,2023-03-17 13:00,39015.10,30,9190.50,0.78,23637.00,0.91,11106.00,0.94,2503.50,0.21
10,Entry Short,Sell 39500 CE,2023-03-17 09:40,39321.45,30,9190.50,0.78,23637.00,0.91,11106.00,0.94,2503.50,0.21
11,Exit Long,SL-Exit-Sell 39000PE,2023-03-20 12:20,39035.75,30,-3613.50,-0.31,20023.50,-0.35,8491.50,0.72,3613.50,0.31
11,Entry Long,Sell 39000 PE,2023-03-20 10:45,39156.20,30,-3613.50,-0.31,20023.50,-0.35,8491.50,0.72,3613.50,0.31
12,Exit Short,X-Exit- Sell 39900 CE,2023-03-24 13:00,39571.95,60,8343.00,0.35,28366.50,0.82,11115.00,0.47,3414.00,0.14
12,Entry Short,Sell 39900 CE,2023-03-24 11:55,39711.00,60,8343.00,0.35,28366.50,0.82,11115.00,0.47,3414.00,0.14
13,Exit Short,X-Exit- Sell 41500 CE,2023-04-06 13:00,41131.70,60,7554.00,0.31,35920.50,0.73,11781.00,0.48,432.00,0.02
13,Entry Short,Sell 41500 CE,2023-04-06 11:25,41257.60,60,7554.00,0.31,35920.50,0.73,11781.00,0.48,432.00,0.02
14,Exit Short,X-Exit- Sell 41600 CE,2023-04-11 13:00,41311.60,60,3834.00,0.15,39754.50,0.37,6918.00,0.28,0,0
14,Entry Short,Sell 41600 CE,2023-04-11 11:20,41375.50,60,3834.00,0.15,39754.50,0.37,6918.00,0.28,0,0
15,Exit Short,X-Exit- Sell 41700 CE,2023-04-12 13:00,41441.75,60,2799.00,0.11,42553.50,0.27,4170.00,0.17,1026.00,0.04
15,Entry Short,Sell 41700 CE,2023-04-12 11:55,41488.40,60,2799.00,0.11,42553.50,0.27,4170.00,0.17,1026.00,0.04
16,Exit Long,X-Exit- Sell 41700 PE,2023-04-17 13:00,42213.75,60,17517.00,0.7,60070.50,1.68,19158.00,0.76,468.00,0.02
16,Entry Long,Sell 41700 PE,2023-04-17 10:15,41921.80,60,17517.00,0.7,60070.50,1.68,19158.00,0.76,468.00,0.02
17,Exit Long,SL-Exit-Sell 42000PE,2023-04-19 11:15,42135.40,60,-2502.00,-0.1,57568.50,-0.24,2988.00,0.12,2502.00,0.1
17,Entry Long,Sell 42000 PE,2023-04-19 10:20,42177.10,60,-2502.00,-0.1,57568.50,-0.24,2988.00,0.12,2502.00,0.1
18,Exit Short,X-Exit- Sell 42600 CE,2023-04-24 13:00,42511.15,30,-4351.50,-0.34,53217.00,-0.41,2100.00,0.17,5115.00,0.4
18,Entry Short,Sell 42600 CE,2023-04-24 09:45,42366.10,30,-4351.50,-0.34,53217.00,-0.41,2100.00,0.17,5115.00,0.4
19,Exit Short,X-Exit- Sell 43000 CE,2023-04-25 13:00,42777.65,60,-1230.00,-0.05,51987.00,-0.12,5127.00,0.2,6504.00,0.25
19,Entry Short,Sell 43000 CE,2023-04-25 10:30,42757.15,60,-1230.00,-0.05,51987.00,-0.12,5127.00,0.2,6504.00,0.25
20,Exit Long,SL-Exit-Sell 43200PE,2023-05-05 12:00,43035.35,30,-11238.00,-0.86,40749.00,-1.07,5341.50,0.41,11238.00,0.86
20,Entry Long,Sell 43200 PE,2023-05-05 09:40,43409.95,30,-11238.00,-0.86,40749.00,-1.07,5341.50,0.41,11238.00,0.86
21,Exit Short,X-Exit- Sell 43400 CE,2023-05-08 13:00,43263.60,30,-2665.50,-0.21,38083.50,-0.26,448.50,0.03,4794.00,0.37
21,Entry Short,Sell 43400 CE,2023-05-08 10:15,43174.75,30,-2665.50,-0.21,38083.50,-0.26,448.50,0.03,4794.00,0.37
22,Exit Short,X-Exit- Sell 43500 CE,2023-05-09 13:00,43474.00,30,-4744.50,-0.37,33339.00,-0.46,172.50,0.01,6522.00,0.5
22,Entry Short,Sell 43500 CE,2023-05-09 09:40,43315.85,30,-4744.50,-0.37,33339.00,-0.46,172.50,0.01,6522.00,0.5
23,Exit Long,X-Exit- Sell 42800 PE,2023-05-10 13:00,43240.70,30,7693.50,0.6,41032.50,0.74,8239.50,0.64,640.50,0.05
23,Entry Long,Sell 42800 PE,2023-05-10 10:25,42984.25,30,7693.50,0.6,41032.50,0.74,8239.50,0.64,640.50,0.05
24,Exit Short,X-Exit- Sell 44100 CE,2023-05-15 13:00,44073.65,60,-8004.00,-0.3,33028.50,-0.77,1566.00,0.06,9294.00,0.35
24,Entry Short,Sell 44100 CE,2023-05-15 09:55,43940.25,60,-8004.00,-0.3,33028.50,-0.77,1566.00,0.06,9294.00,0.35
25,Exit Long,SL-Exit-Sell 43700PE,2023-05-16 09:35,43857.80,60,-2748.00,-0.1,30280.50,-0.27,2592.00,0.1,2748.00,0.1
25,Entry Long,Sell 43700 PE,2023-05-16 09:35,43903.60,60,-2748.00,-0.1,30280.50,-0.27,2592.00,0.1,2748.00,0.1
26,Exit Short,X-Exit- Sell 44200 CE,2023-05-18 13:00,43913.60,60,5169.00,0.2,35449.50,0.5,6594.00,0.25,4767.00,0.18
26,Entry Short,Sell 44200 CE,2023-05-18 11:35,43999.75,60,5169.00,0.2,35449.50,0.5,6594.00,0.25,4767.00,0.18
27,Exit Long,X-Exit- Sell 43400 PE,2023-05-19 13:00,43666.50,60,3633.00,0.14,39082.50,0.35,8361.00,0.32,3483.00,0.13
27,Entry Long,Sell 43400 PE,2023-05-19 10:20,43605.95,60,3633.00,0.14,39082.50,0.35,8361.00,0.32,3483.00,0.13
28,Exit Short,X-Exit- Sell 44100 CE,2023-05-24 13:00,43877.00,60,2574.00,0.1,41656.50,0.25,7215.00,0.27,4566.00,0.17
28,Entry Short,Sell 44100 CE,2023-05-24 11:15,43919.90,60,2574.00,0.1,41656.50,0.25,7215.00,0.27,4566.00,0.17
29,Exit Long,X-Exit- Sell 44100 PE,2023-05-30 13:00,44349.75,60,3078.00,0.12,44734.50,0.3,3744.00,0.14,2805.00,0.11
29,Entry Long,Sell 44100 PE,2023-05-30 11:40,44298.45,60,3078.00,0.12,44734.50,0.3,3744.00,0.14,2805.00,0.11
30,Exit Short,X-Exit- Sell 44400 CE,2023-06-05 13:00,44219.70,60,-2292.00,-0.09,42442.50,-0.22,1773.00,0.07,4917.00,0.19
30,Entry Short,Sell 44400 CE,2023-06-05 09:40,44181.50,60,-2292.00,-0.09,42442.50,-0.22,1773.00,0.07,4917.00,0.19
31,Exit Short,X-Exit- Sell 44600 CE,2023-06-08 13:00,44285.70,60,9498.00,0.36,51940.50,0.91,14046.00,0.53,915.00,0.03
31,Entry Short,Sell 44600 CE,2023-06-08 10:40,44444.00,60,9498.00,0.36,51940.50,0.91,14046.00,0.53,915.00,0.03
32,Exit Short,X-Exit- Sell 43900 CE,2023-06-16 13:00,43772.20,60,-2286.00,-0.09,49654.50,-0.22,2382.00,0.09,5136.00,0.2
32,Entry Short,Sell 43900 CE,2023-06-16 10:15,43734.10,60,-2286.00,-0.09,49654.50,-0.22,2382.00,0.09,5136.00,0.2
33,Exit Short,Sell 43600 PE,2023-06-21 11:30,43758.90,60,8220.00,0.31,57874.50,0.78,11817.00,0.45,1443.00,0.05
33,Entry Short,Sell 44100 CE,2023-06-21 09:45,43895.90,60,8220.00,0.31,57874.50,0.78,11817.00,0.45,1443.00,0.05
34,Exit Long,X-Exit- Sell 43600 PE,2023-06-21 13:00,43849.65,60,5445.00,0.21,63319.50,0.51,5643.00,0.21,978.00,0.04
34,Entry Long,Sell 43600 PE,2023-06-21 11:30,43758.90,60,5445.00,0.21,63319.50,0.51,5643.00,0.21,978.00,0.04
35,Exit Short,X-Exit- Sell 44100 CE,2023-06-22 13:00,43759.65,60,11181.00,0.42,74500.50,1.05,12345.00,0.47,2295.00,0.09
35,Entry Short,Sell 44100 CE,2023-06-22 09:45,43946.00,60,11181.00,0.42,74500.50,1.05,12345.00,0.47,2295.00,0.09
36,Exit Short,X-Exit- Sell 44000 CE,2023-06-27 13:00,43754.15,60,2280.00,0.09,76780.50,0.21,2487.00,0.09,2103.00,0.08
36,Entry Short,Sell 44000 CE,2023-06-27 11:50,43792.15,60,2280.00,0.09,76780.50,0.21,2487.00,0.09,2103.00,0.08
37,Exit Long,X-Exit- Sell 44900 PE,2023-07-04 13:00,45465.65,30,9444.00,0.7,86224.50,0.88,10062.00,0.74,1072.50,0.08
37,Entry Long,Sell 44900 PE,2023-07-04 10:20,45150.85,30,9444.00,0.7,86224.50,0.88,10062.00,0.74,1072.50,0.08
38,Exit Long,SL-Exit-Sell 45000PE,2023-07-07 10:40,45065.70,30,-3823.50,-0.28,82401.00,-0.35,892.50,0.07,3823.50,0.28
38,Entry Long,Sell 45000 PE,2023-07-07 09:40,45193.15,30,-3823.50,-0.28,82401.00,-0.35,892.50,0.07,3823.50,0.28
39,Exit Short,X-Exit- Sell 45200 CE,2023-07-13 13:00,45022.95,60,-3525.00,-0.13,78876.00,-0.33,1779.00,0.07,7257.00,0.27
39,Entry Short,Sell 45200 CE,2023-07-13 10:40,44964.20,60,-3525.00,-0.13,78876.00,-0.33,1779.00,0.07,7257.00,0.27
40,Exit Short,X-Exit- Sell 46000 CE,2023-07-18 13:00,45479.20,30,9522.00,0.69,88398.00,0.88,15303.00,1.11,1575.00,0.11
40,Entry Short,Sell 46000 CE,2023-07-18 09:40,45796.60,30,9522.00,0.69,88398.00,0.88,15303.00,1.11,1575.00,0.11
41,Exit Long,X-Exit- Sell 45300 PE,2023-07-19 13:00,45595.05,60,5481.00,0.2,93879.00,0.5,9504.00,0.35,2136.00,0.08
41,Entry Long,Sell 45300 PE,2023-07-19 11:35,45503.70,60,5481.00,0.2,93879.00,0.5,9504.00,0.35,2136.00,0.08
42,Exit Short,X-Exit- Sell 46300 CE,2023-07-21 13:00,46090.30,30,1653.00,0.12,95532.00,0.15,6585.00,0.48,1999.50,0.14
42,Entry Short,Sell 46300 CE,2023-07-21 09:40,46145.40,30,1653.00,0.12,95532.00,0.15,6585.00,0.48,1999.50,0.14
43,Exit Short,X-Exit- Sell 45700 CE,2023-07-31 13:00,45549.80,60,51.00,0,95583.00,0,4497.00,0.16,1770.00,0.06
43,Entry Short,Sell 45700 CE,2023-07-31 11:15,45550.65,60,51.00,0,95583.00,0,4497.00,0.16,1770.00,0.06
44,Exit Long,SL-Exit-Sell 45400PE,2023-08-01 11:35,45549.90,60,-2688.00,-0.1,92895.00,-0.25,252.00,0.01,2688.00,0.1
44,Entry Long,Sell 45400 PE,2023-08-01 11:05,45594.70,60,-2688.00,-0.1,92895.00,-0.25,252.00,0.01,2688.00,0.1
45,Exit Short,X-Exit- Sell 45100 CE,2023-08-07 13:00,44824.75,60,6300.00,0.23,99195.00,0.58,9354.00,0.35,2919.00,0.11
45,Entry Short,Sell 45100 CE,2023-08-07 10:05,44929.75,60,6300.00,0.23,99195.00,0.58,9354.00,0.35,2919.00,0.11
46,Exit Short,Sell 44400 PE,2023-08-10 10:55,44645.55,30,-837.00,-0.06,98358.00,-0.08,4159.50,0.31,1575.00,0.12
46,Entry Short,Sell 44800 CE,2023-08-10 10:30,44617.65,30,-837.00,-0.06,98358.00,-0.08,4159.50,0.31,1575.00,0.12
47,Exit Long,X-Exit- Sell 44400 PE,2023-08-10 13:00,44617.95,30,-828.00,-0.06,97530.00,-0.08,2560.50,0.19,2176.50,0.16
47,Entry Long,Sell 44400 PE,2023-08-10 10:55,44645.55,30,-828.00,-0.06,97530.00,-0.08,2560.50,0.19,2176.50,0.16
48,Exit Short,X-Exit- Sell 44500 CE,2023-08-11 13:00,44268.85,60,3921.00,0.15,101451.00,0.36,4998.00,0.19,3501.00,0.13
48,Entry Short,Sell 44500 CE,2023-08-11 11:40,44334.20,60,3921.00,0.15,101451.00,0.36,4998.00,0.19,3501.00,0.13
49,Exit Short,X-Exit- Sell 44100 CE,2023-08-14 13:00,43922.65,60,576.00,0.02,102027.00,0.05,1278.00,0.05,6285.00,0.24
49,Entry Short,Sell 44100 CE,2023-08-14 11:20,43932.25,60,576.00,0.02,102027.00,0.05,1278.00,0.05,6285.00,0.24
50,Exit Short,X-Exit- Sell 44100 CE,2023-08-18 13:00,43856.70,60,1389.00,0.05,103416.00,0.13,3366.00,0.13,4668.00,0.18
50,Entry Short,Sell 44100 CE,2023-08-18 09:45,43879.85,60,1389.00,0.05,103416.00,0.13,3366.00,0.13,4668.00,0.18
51,Exit Short,X-Exit- Sell 44200 CE,2023-08-21 13:00,44053.45,60,-4833.00,-0.18,98583.00,-0.44,1152.00,0.04,5601.00,0.21
51,Entry Short,Sell 44200 CE,2023-08-21 10:45,43972.90,60,-4833.00,-0.18,98583.00,-0.44,1152.00,0.04,5601.00,0.21
52,Exit Long,SL-Exit-Sell 44100PE,2023-08-25 10:25,44139.60,30,-4008.00,-0.3,94575.00,-0.36,1291.50,0.1,4008.00,0.3
52,Entry Long,Sell 44100 PE,2023-08-25 09:35,44273.20,30,-4008.00,-0.3,94575.00,-0.36,1291.50,0.1,4008.00,0.3
53,Exit Short,X-Exit- Sell 44600 CE,2023-08-28 13:00,44474.35,60,-3918.00,-0.15,90657.00,-0.36,1404.00,0.05,6654.00,0.25
53,Entry Short,Sell 44600 CE,2023-08-28 12:00,44409.05,60,-3918.00,-0.15,90657.00,-0.36,1404.00,0.05,6654.00,0.25
54,Exit Short,X-Exit- Sell 44900 CE,2023-08-30 13:00,44600.15,60,7977.00,0.3,98634.00,0.73,10947.00,0.41,1905.00,0.07
54,Entry Short,Sell 44900 CE,2023-08-30 09:45,44733.10,60,7977.00,0.3,98634.00,0.73,10947.00,0.41,1905.00,0.07
55,Exit Long,SL-Exit-Sell 44200PE,2023-08-31 10:35,44097.20,30,-7686.00,-0.58,90948.00,-0.7,1387.50,0.1,7686.00,0.58
55,Entry Long,Sell 44200 PE,2023-08-31 09:45,44353.40,30,-7686.00,-0.58,90948.00,-0.7,1387.50,0.1,7686.00,0.58
56,Exit Long,X-Exit- Sell 43700 PE,2023-09-01 13:00,44204.70,60,17664.00,0.67,108612.00,1.62,19686.00,0.75,291.00,0.01
56,Entry Long,Sell 43700 PE,2023-09-01 10:25,43910.30,60,17664.00,0.67,108612.00,1.62,19686.00,0.75,291.00,0.01
57,Exit Long,X-Exit- Sell 44200 PE,2023-09-04 13:00,44507.80,60,8760.00,0.33,117372.00,0.79,10395.00,0.39,1770.00,0.07
57,Entry Long,Sell 44200 PE,2023-09-04 11:00,44361.80,60,8760.00,0.33,117372.00,0.79,10395.00,0.39,1770.00,0.07
58,Exit Short,X-Exit- Sell 44700 CE,2023-09-07 13:00,44440.90,30,2776.50,0.21,120148.50,0.25,3978.00,0.3,411.00,0.03
58,Entry Short,Sell 44700 CE,2023-09-07 11:35,44533.45,30,2776.50,0.21,120148.50,0.25,3978.00,0.3,411.00,0.03
59,Exit Short,Sell 45300 PE,2023-09-12 10:15,45483.80,30,6639.00,0.48,126787.50,0.59,9145.50,0.67,313.50,0.02
59,Entry Short,Sell 45900 CE,2023-09-12 09:35,45705.10,30,6639.00,0.48,126787.50,0.59,9145.50,0.67,313.50,0.02
60,Exit Long,SL-Exit-Sell 45300PE,2023-09-12 10:25,45400.25,60,-5013.00,-0.18,121774.50,-0.44,1455.00,0.05,5013.00,0.18
60,Entry Long,Sell 45300 PE,2023-09-12 10:15,45483.80,60,-5013.00,-0.18,121774.50,-0.44,1455.00,0.05,5013.00,0.18
61,Exit Short,X-Exit- Sell 46200 CE,2023-09-14 13:00,45940.55,30,1317.00,0.1,123091.50,0.12,5488.50,0.4,1474.50,0.11
61,Entry Short,Sell 46200 CE,2023-09-14 10:00,45984.45,30,1317.00,0.1,123091.50,0.12,5488.50,0.4,1474.50,0.11
62,Exit Long,Sell 45100 CE,2023-09-22 11:20,44917.35,30,7833.00,0.58,130924.50,0.7,9859.50,0.74,993.00,0.07
62,Entry Long,Sell 44500 PE,2023-09-22 10:15,44656.25,30,7833.00,0.58,130924.50,0.7,9859.50,0.74,993.00,0.07
