Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
1,Exit Short,X-Exit- Sell 41800 CE|Buy 42800 CE,2023-03-06 12:30,41397.20,1,236.60,0.57,236.60,0.02,290.25,0.7,37.40,0.09
1,Entry Short,Sell 41800 CE|Buy 42800 CE,2023-03-06 10:20,41633.80,1,236.60,0.57,236.60,0.02,290.25,0.7,37.40,0.09
2,Exit Short,X-Exit- Sell 39400 CE|Buy 40400 CE,2023-03-16 12:30,38797.35,1,292.10,0.75,528.70,0.03,317.75,0.81,114.45,0.29
2,Entry Short,Sell 39400 CE|Buy 40400 CE,2023-03-16 11:20,39089.45,1,292.10,0.75,528.70,0.03,317.75,0.81,114.45,0.29
3,Exit Short,X-Exit- Sell 40300 CE|Buy 41300 CE,2023-03-23 12:30,40075.00,1,-49.80,-0.12,478.90,0,83.40,0.21,94.10,0.24
3,Entry Short,Sell 40300 CE|Buy 41300 CE,2023-03-23 10:20,40025.20,1,-49.80,-0.12,478.90,0,83.40,0.21,94.10,0.24
4,Exit Short,X-Exit- Sell 41400 CE|Buy 42400 CE,2023-04-06 12:30,41137.35,1,77.80,0.19,556.70,0.01,153.90,0.37,53.15,0.13
4,Entry Short,Sell 41400 CE|Buy 42400 CE,2023-04-06 11:20,41215.15,1,77.80,0.19,556.70,0.01,153.90,0.37,53.15,0.13
5,Exit Short,X-Exit- Sell 41500 CE|Buy 42500 CE,2023-04-11 12:30,41294.80,1,-26.80,-0.06,529.90,0,49.40,0.12,113.15,0.27
5,Entry Short,Sell 41500 CE|Buy 42500 CE,2023-04-11 10:20,41268.00,1,-26.80,-0.06,529.90,0,49.40,0.12,113.15,0.27
6,Exit Short,X-Exit- Sell 42900 CE|Buy 43900 CE,2023-04-25 12:30,42748.90,1,76.65,0.18,606.55,0.01,105.90,0.25,40.00,0.09
6,Entry Short,Sell 42900 CE|Buy 43900 CE,2023-04-25 10:20,42825.55,1,76.65,0.18,606.55,0.01,105.90,0.25,40.00,0.09
7,Exit Short,X-Exit- Sell 43300 CE|Buy 44300 CE,2023-05-03 12:30,43161.60,1,72.45,0.17,679.00,0.01,126.30,0.29,9.85,0.02
7,Entry Short,Sell 43300 CE|Buy 44300 CE,2023-05-03 11:05,43234.05,1,72.45,0.17,679.00,0.01,126.30,0.29,9.85,0.02
8,Exit Short,X-Exit- Sell 43500 CE|Buy 44500 CE,2023-05-04 12:30,43393.85,1,-21.80,-0.05,657.20,0,30.60,0.07,63.30,0.15
8,Entry Short,Sell 43500 CE|Buy 44500 CE,2023-05-04 11:30,43372.05,1,-21.80,-0.05,657.20,0,30.60,0.07,63.30,0.15
9,Exit Short,X-Exit- Sell 43900 CE|Buy 44900 CE,2023-05-05 12:30,43234.30,1,320.15,0.74,977.35,0.03,521.75,1.2,33.55,0.08
9,Entry Short,Sell 43900 CE|Buy 44900 CE,2023-05-05 10:20,43554.45,1,320.15,0.74,977.35,0.03,521.75,1.2,33.55,0.08
10,Exit Short,X-Exit- Sell 43600 CE|Buy 44600 CE,2023-05-12 12:30,43560.25,1,-63.75,-0.15,913.60,-0.01,31.40,0.07,88.05,0.2
10,Entry Short,Sell 43600 CE|Buy 44600 CE,2023-05-12 10:20,43496.50,1,-63.75,-0.15,913.60,-0.01,31.40,0.07,88.05,0.2
