Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
1,Exit Long,X-Exit-Sell 17650PE,2023-03-14 15:25,17054.70,1,-673.30,-3.8,-673.30,-0.07,71.95,0.41,740.90,4.18
1,Entry Long,Sell 17650 PE,2023-03-06 09:20,17728.00,1,-673.30,-3.8,-673.30,-0.07,71.95,0.41,740.90,4.18
2,Exit Long,SQ-Exit-Sell 16850PE,2023-03-20 10:20,16887.10,1,-39.00,-0.23,-712.30,0,219.70,1.3,75.95,0.45
2,Entry Long,Sell 16850 PE,2023-03-16 09:20,16926.10,1,-39.00,-0.23,-712.30,0,219.70,1.3,75.95,0.45
3,Exit Long,SQ-Exit-Sell 17000PE,2023-03-24 09:30,17021.60,1,-56.45,-0.33,-768.75,-0.01,127.35,0.75,63.15,0.37
3,Entry Long,Sell 17000 PE,2023-03-23 09:20,17078.05,1,-56.45,-0.33,-768.75,-0.01,127.35,0.75,63.15,0.37
4,Exit Long,X-Exit-Sell 17150PE,2023-04-11 15:25,17726.15,1,479.95,2.78,-288.80,0.05,502.55,2.91,12.55,0.07
4,Entry Long,Sell 17150 PE,2023-03-31 09:20,17246.20,1,479.95,2.78,-288.80,0.05,502.55,2.91,12.55,0.07
5,Exit Long,SQ-Exit-Sell 17700PE,2023-04-17 09:20,17673.15,1,-116.70,-0.66,-405.50,-0.01,52.30,0.29,119.10,0.67
5,Entry Long,Sell 17700 PE,2023-04-13 09:20,17789.85,1,-116.70,-0.66,-405.50,-0.01,52.30,0.29,119.10,0.67
6,Exit Long,SQ-Exit-Sell 17550PE,2023-04-21 09:55,17617.00,1,-36.55,-0.21,-442.05,0,30.90,0.18,69.20,0.39
6,Entry Long,Sell 17550 PE,2023-04-20 09:20,17653.55,1,-36.55,-0.21,-442.05,0,30.90,0.18,69.20,0.39
7,Exit Long,X-Exit-Sell 17700PE,2023-05-02 15:25,18142.35,1,331.70,1.86,-110.35,0.03,369.60,2.08,4.95,0.03
7,Entry Long,Sell 17700 PE,2023-04-27 09:20,17810.65,1,331.70,1.86,-110.35,0.03,369.60,2.08,4.95,0.03
8,Exit Long,SQ-Exit-Sell 18000PE,2023-05-05 11:35,18138.35,1,40.75,0.23,-69.60,0,169.85,0.94,5.40,0.03
8,Entry Long,Sell 18000 PE,2023-05-04 09:20,18097.60,1,40.75,0.23,-69.60,0,169.85,0.94,5.40,0.03
9,Exit Long,SQ-Exit-Sell 18200PE,2023-05-12 09:20,18257.85,1,-66.30,-0.36,-135.90,-0.01,26.15,0.14,85.20,0.46
9,Entry Long,Sell 18200 PE,2023-05-11 09:20,18324.15,1,-66.30,-0.36,-135.90,-0.01,26.15,0.14,85.20,0.46
10,Exit Long,SQ-Exit-Sell 18150PE,2023-05-22 11:55,18306.05,1,36.10,0.2,-99.80,0,40.65,0.22,209.55,1.15
10,Entry Long,Sell 18150 PE,2023-05-18 09:20,18269.95,1,36.10,0.2,-99.80,0,40.65,0.22,209.55,1.15
11,Exit Long,X-Exit-Sell 18200PE,2023-05-30 15:25,18643.45,1,351.15,1.92,251.35,0.04,370.15,2.02,89.90,0.49
11,Entry Long,Sell 18200 PE,2023-05-25 09:20,18292.30,1,351.15,1.92,251.35,0.04,370.15,2.02,89.90,0.49
12,Exit Long,SQ-Exit-Sell 18450PE,2023-06-02 09:55,18521.40,1,-38.60,-0.21,212.75,0,20.30,0.11,95.45,0.51
12,Entry Long,Sell 18450 PE,2023-06-01 09:20,18560.00,1,-38.60,-0.21,212.75,0,20.30,0.11,95.45,0.51
13,Exit Long,SQ-Exit-Sell 18650PE,2023-06-13 11:50,18701.50,1,-43.75,-0.23,169.00,0,32.65,0.17,189.85,1.01
13,Entry Long,Sell 18650 PE,2023-06-08 09:20,18745.25,1,-43.75,-0.23,169.00,0,32.65,0.17,189.85,1.01
14,Exit Long,SQ-Exit-Sell 18650PE,2023-06-16 09:50,18771.20,1,39.50,0.21,208.50,0,62.40,0.33,62.65,0.33
14,Entry Long,Sell 18650 PE,2023-06-15 09:20,18731.70,1,39.50,0.21,208.50,0,62.40,0.33,62.65,0.33
15,Exit Long,X-Exit-Sell 18750PE,2023-06-27 15:25,18815.10,1,-31.70,-0.17,176.80,0,39.80,0.21,200.10,1.06
15,Entry Long,Sell 18750 PE,2023-06-22 09:20,18846.80,1,-31.70,-0.17,176.80,0,39.80,0.21,200.10,1.06
16,Exit Long,X-Exit-Sell 18950PE,2023-07-04 15:25,19385.30,1,313.70,1.64,490.50,0.03,362.55,1.9,3.80,0.02
16,Entry Long,Sell 18950 PE,2023-06-30 09:20,19071.60,1,313.70,1.64,490.50,0.03,362.55,1.9,3.80,0.02
17,Exit Long,SQ-Exit-Sell 19300PE,2023-07-07 12:45,19359.85,1,-41.05,-0.21,449.45,0,122.70,0.63,50.65,0.26
